#       k [h/Mpc]           P_cdm          P_vcdm         P_total
          0.0001         2.65655         2.65655         2.65655
     0.000106333         2.81501         2.81501         2.81501
     0.000113066         2.98292         2.98292         2.98292
     0.000120226         3.16082         3.16082         3.16082
      0.00012784         3.34933         3.34933         3.34933
     0.000135936         3.54906         3.54906         3.54906
     0.000144544         3.76069         3.76069         3.76069
     0.000153697         3.98491         3.98491         3.98491
     0.000163431         4.22247         4.22247         4.22247
      0.00017378         4.47416         4.47416         4.47416
     0.000184785         4.74081         4.74081         4.74081
     0.000196487         5.02331         5.02331         5.02331
      0.00020893         5.32258         5.32258         5.32258
      0.00022216         5.63962         5.63962         5.63962
     0.000236229         5.97546         5.97546         5.97546
     0.000251189         6.33121         6.33121         6.33121
     0.000267096         6.70803         6.70803         6.70803
      0.00028401         7.10714         7.10714         7.10714
     0.000301995         7.52983         7.52983         7.52983
     0.000321119         7.97748         7.97748         7.97748
     0.000341455         8.45152         8.45152         8.45152
     0.000363078         8.95346         8.95346         8.95346
     0.000386071          9.4849          9.4849          9.4849
     0.000410519         10.0475         10.0475         10.0475
     0.000436516          10.643          10.643          10.643
     0.000464159         11.2734         11.2734         11.2734
     0.000493552         11.9404         11.9404         11.9404
     0.000524807         12.6462         12.6462         12.6462
     0.000558042         13.3928         13.3928         13.3928
     0.000593381         14.1825         14.1825         14.1825
     0.000630957         15.0176         15.0176         15.0176
     0.000670914         15.9004         15.9004         15.9004
       0.0007134         16.8335         16.8335         16.8335
     0.000758578         17.8195         17.8195         17.8195
     0.000806616         18.8609         18.8609         18.8609
     0.000857696         19.9606         19.9606         19.9606
     0.000912011         21.1213         21.1213         21.1213
     0.000969765         22.3458         22.3458         22.3458
      0.00103118         23.6372         23.6372         23.6372
      0.00109648         24.9984         24.9984         24.9984
      0.00116591         26.4322         26.4322         26.4322
      0.00123975         27.9418         27.9418         27.9418
      0.00131826           29.53           29.53           29.53
      0.00140174         31.1997         31.1997         31.1997
       0.0014905         32.9537         32.9537         32.9537
      0.00158489         34.7948         34.7948         34.7948
      0.00168526         36.7254         36.7254         36.7254
      0.00179198         38.7479         38.7479         38.7479
      0.00190546         40.8643         40.8643         40.8643
      0.00202613         43.0766         43.0766         43.0766
      0.00215443         45.3861         45.3861         45.3861
      0.00229087         47.7939         47.7939         47.7939
      0.00243594         50.3005         50.3005         50.3005
       0.0025902          52.906          52.906          52.906
      0.00275423         55.6097         55.6097         55.6097
      0.00292864         58.4104         58.4104         58.4104
      0.00311411         61.3061         61.3061         61.3061
      0.00331131         64.2938         64.2938         64.2938
      0.00352101         67.3698         67.3698         67.3698
      0.00374398         70.5293         70.5293         70.5293
      0.00398107         73.7664         73.7664         73.7664
      0.00423318         77.0742         77.0742         77.0742
      0.00450125         80.4443         80.4443         80.4443
       0.0047863         83.8672         83.8672         83.8672
       0.0050894         87.3321         87.3321         87.3321
       0.0054117         90.8266         90.8266         90.8266
       0.0057544          94.337          94.337          94.337
      0.00611881         97.8479         97.8479         97.8479
      0.00650629         101.342         101.342         101.342
      0.00691831         104.802         104.802         104.802
      0.00735642         108.206         108.206         108.206
      0.00782228         111.533         111.533         111.533
      0.00831764          114.76          114.76          114.76
      0.00884437         117.859         117.859         117.859
      0.00940445         120.805         120.805         120.805
            0.01         123.567         123.567         123.567
       0.0106333         126.115         126.115         126.115
       0.0113066         128.415         128.415         128.415
       0.0120226         130.432         130.432         130.432
        0.012784          132.13          132.13          132.13
       0.0135936          133.47          133.47          133.47
       0.0144544         134.412         134.412         134.412
       0.0153697         134.917         134.917         134.917
       0.0163431         134.946         134.946         134.946
        0.017378         134.462         134.462         134.462
       0.0184785         133.432         133.432         133.432
       0.0196487         131.831         131.831         131.831
        0.020893         129.645         129.645         129.645
        0.022216         126.872         126.872         126.872
       0.0236229         123.529         123.529         123.529
       0.0251189         119.656         119.656         119.656
       0.0267096         115.314         115.314         115.314
        0.028401         110.586         110.586         110.586
       0.0301995         105.575         105.575         105.575
       0.0321119         100.398         100.398         100.398
       0.0341455         95.1747         95.1747         95.1747
       0.0363078         90.0234         90.0234         90.0234
       0.0386071          85.049          85.049          85.049
       0.0410519         80.3389         80.3389         80.3389
       0.0436516         75.9589         75.9589         75.9589
       0.0464159         71.9516         71.9516         71.9516
       0.0493552         68.3341         68.3341         68.3341
       0.0524807         65.0942         65.0942         65.0942
       0.0558042         62.1834         62.1834         62.1834
       0.0593381          59.508          59.508          59.508
       0.0630957         56.9241         56.9241         56.9241
       0.0670914         54.2444         54.2444         54.2444
         0.07134         51.2688         51.2688         51.2688
       0.0758578         47.8418         47.8418         47.8418
       0.0806616         43.9279         43.9279         43.9279
       0.0857696         39.6703         39.6703         39.6703
       0.0912011          35.389          35.389          35.389
       0.0969765         31.4909         31.4909         31.4909
        0.103118         28.3165         28.3165         28.3165
